user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Berapa harga pasang ac split 2 pk,['Nama Layanan: Jasa Pasang AC Split - 1.5 - 2 PK. Kategori: Jasa. Harga Dasar: Rp350000.00. Keterangan Layanan: Layanan pemasangan unit AC Split untuk kapasitas 1.5 sampai 2 PK.'],Untuk jasa pasang AC Split ukuran 1.5 sampai 2 PK harganya Rp350.000 yaa kak.,Harga jasa pasang AC Split 1.5-2 PK adalah Rp350.000,1.0,0.9364940032009362,0.9999999999,1.0
Berapa harga refill freon r22 2 pk,['Nama Layanan: Refill / Isi Full Freon R-22 - 1.5 - 2 PK. Kategori: Jasa. Harga Dasar: Rp410000.00. Keterangan Layanan: Layanan pengisian ulang freon R-22 untuk AC kapasitas 1.5 sampai 2 PK.'],Untuk refill atau isi full freon R-22 ukuran 1.5 sampai 2 PK harganya Rp410.000 yaa kak.,Harga refill freon R-22 untuk AC 1.5-2 PK adalah Rp410.000,1.0,0.9109823501452013,0.9999999999,1.0
Berapa harga daikin thailand 1 pk,['Nama Produk: DAIKIN THAILAND - 1 PK. Kategori: AC. Merek: DAIKIN THAILAND. Harga Unit Produk: Rp4307000.00. Keterangan Singkat: AC Daikin Thailand 1 PK. Jasa Bundling/Pemasangan Wajib: Jasa Pasang AC Split - 0.5 - 1 PK (Biaya Tambahan Jasa: Rp250000).'],Untuk AC Daikin Thailand 1 PK harganya Rp4.307.000 yaa kak. Harga tersebut belum termasuk jasa pasang yaa kak. Untuk jasa pasang AC Split 0.5 - 1 PK ada tambahan biaya Rp250.000.,Harga AC Daikin Thailand 1 PK adalah Rp4.307.000 dengan jasa pasang wajib Rp250.000,1.0,0.9204496259799718,0.9999999999,1.0
Bagaimana spesifikasi dari AC Daikin 1.5 pk,"['Nama Produk: DAIKIN - 1.5 PK. Kategori: AC. Merek: DAIKIN. Harga Unit Produk: Rp5345000.00. Keterangan Singkat: AC Daikin Inverter 1.5 PK. Spesifikasi Detail: Model Representatif: Daikin Inverter (FTKQ35UVM4). Kapasitas Pendinginan: 11.900 BTU/h. Daya Listrik: 990 Watt (Mode Inverter). Tipe Freon: R32. EER: Bintang 5. Fitur Unggulan: Super PCB tahan lonjakan listrik hingga 440V, Gin-Ion Blue Filter, Mode Low Watt. Cocok Untuk Ruangan: Ukuran 18 - 24 m².']","Siap kak, untuk AC Daikin 1.5 PK model Daikin Inverter (FTKQ35UVM4) spesifikasinya: Kapasitas Pendinginan 11.900 BTU/h, Daya Listrik 990 Watt (Mode Inverter), Tipe Freon R32, EER Bintang 5. Fitur unggulannya ada Super PCB tahan lonjakan listrik hingga 440V, Gin-Ion Blue Filter, dan Mode Low Watt. Cocok untuk ruangan ukuran 18 - 24 m².","AC Daikin 1.5 PK model FTKQ35UVM4 memiliki kapasitas 11.900 BTU/h, daya 990 Watt, freon R32, EER Bintang 5, fitur Super PCB, Gin-Ion Blue Filter, Mode Low Watt, cocok untuk ruangan 18-24 m²",1.0,0.9364711550785302,0.9999999999,1.0
AC Honshu 2 pk cocok untuk ruangan berapa m,['Nama Produk: HONSHU - 2 PK. Kategori: AC. Merek: HONSHU. Harga Unit Produk: Rp5300000.00. Keterangan Singkat: AC Honshu 2 PK. Spesifikasi Detail: Cocok Untuk Ruangan: Ukuran 24 - 36 m².'],AC Honshu 2 PK cocok untuk ruangan ukuran 24 - 36 m² yaa kak.,AC Honshu 2 PK cocok untuk ruangan ukuran 24-36 m²,1.0,0.9616930855776514,0.9999999999,1.0
Berapa biaya cuci AC split 1 pk,['Nama Layanan: Jasa Cuci AC Split - 0.5 - 1 PK. Kategori: Jasa. Harga Dasar: Rp80000.00. Keterangan Layanan: Layanan pembersihan/cuci unit AC Split untuk kapasitas 0.5 sampai 1 PK.'],Untuk jasa cuci AC Split ukuran 0.5 sampai 1 PK harganya Rp80.000 yaa kak.,Harga jasa cuci AC Split 0.5-1 PK adalah Rp80.000,1.0,0.9546378075550112,0.9999999999,1.0
Berapa harga bongkar AC split 2 pk,['Nama Layanan: Jasa Bongkar AC Split - 1.5 - 2 PK. Kategori: Jasa. Harga Dasar: Rp200000.00. Keterangan Layanan: Layanan pembongkaran unit AC Split untuk kapasitas 1.5 sampai 2 PK.'],Untuk jasa bongkar AC Split ukuran 1.5 sampai 2 PK harganya Rp200.000 yaa kak.,Harga jasa bongkar AC Split 1.5-2 PK adalah Rp200.000,1.0,0.9527416813487061,0.9999999999,1.0
Ada biaya tambahan kalau pasang AC malam hari,['Surcharge Jam Malam: Terdapat biaya tambahan sebesar Rp50.000 untuk pengerjaan di luar jam kerja (jam 18.00 WIB - 00.00 WIB).'],"Iya kak, ada biaya tambahan Rp50.000 untuk pengerjaan di jam malam yaitu jam 18.00 - 00.00 WIB.",Ada biaya tambahan Rp50.000 untuk pengerjaan di jam malam (18.00-00.00 WIB),0.0,0.8999792212947123,0.9999999999,1.0
Berapa biaya pasang AC di apartemen,['Surcharge Apartemen: Terdapat biaya tambahan sebesar Rp25.000 untuk pengerjaan di lokasi Apartemen karena tingkat kesulitan akses dan perizinan gedung. Nama Layanan: Jasa Pasang AC Split - 0.5 - 1 PK. Kategori: Jasa. Harga Dasar: Rp250000.00.'],Untuk pasang AC di apartemen ada biaya tambahan Rp25.000 karena tingkat kesulitan akses dan perizinan gedung yaa kak. Jadi total biaya pasang AC Split 0.5-1 PK di apartemen adalah Rp275.000.,Ada biaya tambahan Rp25.000 untuk pengerjaan di apartemen. Harga pasang AC Split 0.5-1 PK adalah Rp250.000,1.0,0.93409025691129,0.9999999999,1.0
Berapa lama garansi jasa pasang AC,"['Garansi Jasa (Servis/Cuci/Pasang): Garansi servis, cuci AC berlaku selama 7 hari, sedangkan garansi pasang AC berlaku selama 30 hari.']",Garansi jasa pasang AC berlaku selama 30 hari yaa kak. Sedangkan untuk jasa servis dan cuci AC garansinya 7 hari.,"Garansi jasa pasang AC berlaku 30 hari, garansi servis dan cuci AC berlaku 7 hari",1.0,0.9548735973007161,0.9999999999,1.0
